,0,1,2,3,4,5,6,7
0,2701965.0,164.91485595703125,0.0,21832.0,234.0,40.97287371985325,234.0,1.0
1,2662250.0,162.4908447265625,0.0,19939.0,239.0,41.44428134519925,239.0,1.0
2,2675056.0,163.2724609375,11.0,21791.0,247.0,40.02636287496622,236.0,1.0
3,2636329.0,160.90875244140625,3.0,20065.0,244.0,41.869255804204286,241.0,1.0
4,2746729.0,167.64703369140625,0.0,22405.0,232.0,42.04442157975781,232.0,1.0
5,2654906.0,162.0426025390625,0.0,19785.0,234.0,41.66975577504373,234.0,1.0
6,2578742.0,157.3939208984375,0.0,20723.0,231.0,39.728458836961565,231.0,1.0
7,2484443.0,151.63836669921875,3.0,18655.0,229.0,41.031445105785,226.0,1.0
8,2948147.0,179.94061279296875,2.0,23374.0,235.0,40.98140180570233,233.0,1.0
9,2949759.0,180.03900146484375,0.0,22427.0,234.0,38.68710564821981,234.0,1.0
10,2747897.0,167.71832275390625,15.0,21775.0,231.0,37.36336848976132,216.0,1.0
11,2462937.0,150.32574462890625,5.0,18946.0,231.0,39.78631315122334,226.0,1.0
12,2948688.0,179.9736328125,14.0,22832.0,254.0,41.24724674862234,240.0,1.0
13,2969687.0,181.25531005859375,0.0,23331.0,248.0,39.857777124927416,248.0,1.0
14,2744318.0,167.4998779296875,15.0,21668.0,233.0,39.33437884802681,218.0,1.0
15,2453329.0,149.73931884765625,0.0,18171.0,231.0,41.16744493392314,231.0,1.0
16,3000155.0,183.11492919921875,3.0,25698.0,245.0,47.29323482615813,242.0,2.0
17,2297397.0,140.22198486328125,0.0,16082.0,233.0,53.62805914902727,233.0,2.0
18,2325225.0,141.92047119140625,0.0,19105.0,248.0,58.201970088144435,248.0,2.0
19,2102386.0,128.3194580078125,0.0,15585.0,231.0,56.03497309942354,231.0,2.0
20,2915215.0,177.93060302734375,4.0,24802.0,241.0,48.97440718935215,237.0,2.0
21,2294608.0,140.0517578125,0.0,18721.0,234.0,54.14419073607789,234.0,2.0
22,2286551.0,139.55999755859375,0.0,15688.0,233.0,54.04849384049268,233.0,2.0
23,2086217.0,127.33258056640625,0.0,16209.0,247.0,54.98764108329371,247.0,2.0
24,2396121.0,146.24761962890625,2.0,20272.0,231.0,54.23846588979056,229.0,2.0
25,2142783.0,130.78509521484375,0.0,16823.0,230.0,53.60244913925376,230.0,2.0
26,2519680.0,153.7890625,3.0,21402.0,232.0,50.695857891194805,229.0,2.0
27,2028869.0,123.83233642578125,0.0,15418.0,255.0,51.34071527245797,255.0,2.0
28,2970934.0,181.3314208984375,9.0,24176.0,245.0,46.69684137254311,236.0,2.0
29,1915823.0,116.93255615234375,0.0,13694.0,239.0,57.23761277406236,239.0,2.0
30,2149488.0,131.1943359375,0.0,19315.0,232.0,59.29728015464713,232.0,2.0
31,2218235.0,135.39031982421875,0.0,16585.0,255.0,55.02569141206885,255.0,2.0
32,2670123.0,162.97137451171875,0.0,21443.0,232.0,55.91801640794664,232.0,3.0
33,2683359.0,163.77923583984375,8.0,19956.0,236.0,56.91998376457788,228.0,3.0
34,2743661.0,167.45977783203125,2.0,21079.0,236.0,58.811661195113054,234.0,3.0
35,2358342.0,143.9417724609375,0.0,17938.0,235.0,62.037574679009616,235.0,3.0
36,2619849.0,159.90289306640625,0.0,21095.0,232.0,58.777322074614624,232.0,3.0
37,2583446.0,157.6810302734375,0.0,20280.0,236.0,58.462914898846655,236.0,3.0
38,2888586.0,176.3052978515625,6.0,23150.0,246.0,57.667631466907686,240.0,3.0
39,2400342.0,146.5052490234375,0.0,18529.0,237.0,63.307497232525236,237.0,3.0
40,2811582.0,171.6053466796875,0.0,22819.0,234.0,54.69914171379215,234.0,3.0
41,2609722.0,159.2847900390625,0.0,19257.0,239.0,60.01049670637755,239.0,3.0
42,2998429.0,183.00958251953125,6.0,23828.0,246.0,54.31161529658769,240.0,3.0
43,2828747.0,172.65301513671875,2.0,23312.0,246.0,56.39083410740501,244.0,3.0
44,2551791.0,155.74896240234375,0.0,17413.0,230.0,60.45801669233499,230.0,3.0
45,2633880.0,160.75927734375,0.0,20021.0,234.0,59.98840249947239,234.0,3.0
46,2877081.0,175.60308837890625,2.0,22109.0,240.0,58.969585213124994,238.0,3.0
47,2645721.0,161.48199462890625,0.0,21322.0,234.0,59.76784753241641,234.0,3.0
48,2029792.0,123.888671875,1.0,16034.0,255.0,59.674681080867714,254.0,4.0
49,2034983.0,124.20550537109375,0.0,15345.0,252.0,56.53984626169723,252.0,4.0
50,1873048.0,114.32177734375,4.0,16343.0,254.0,53.36956664533975,250.0,4.0
51,1985540.0,121.187744140625,6.0,13965.0,241.0,49.89791366650988,235.0,4.0
52,1941767.0,118.51605224609375,0.0,13450.0,239.0,57.87995946910906,239.0,4.0
53,2001843.0,122.18280029296875,0.0,15415.0,240.0,54.645037930983925,240.0,4.0
